brand,expression,whisky_type,age_statement,pack_size_ml,bottle_price,price_band,is_gift_boxed,peat_profile,tier,store_type,shelf_zone,display_type,promo_flag,city_region,week,purchase_type,occasion,basket_role,repeat_purchase_flag,days_since_last_purchase,units_bought,estimated_buyer_stage,product_desc_raw,shelf_tag_raw,promo_text_raw,notes_text
Chivas Regal,12,blend,12.0,1000,537.29,premium_window,1,light,core,premium_store,eye_level,standard,0,Sandton,18,gift,last-minute dinner,primary,0,46.0,2,preference_led,Chivas Regal 12 whisky,Chivas Regal 12 1000 ml,,
Monkey Shoulder,Blended Malt,blend,,750,427.9,step_up,0,medium,core,liquor_store,eye_level,promo_stack,1,Sandton,11,mixed,birthday run,primary,0,114.0,1,exploratory,Monkey Shoulder Blended Malt gift pack,Monkey Shoulder Blended Malt whisky,bundle with glassware,"premium shelf got traffic, but not much conversion late week"
Glenlivet,12,single_malt,12.0,750,534.43,premium_window,0,light,premium,liquor_store,eye_level,gift_section,0,Sandton,7,self,braai night,primary,0,75.0,1,exploratory,Glenlivet 12 blend,Glenlivet 12 750 ml,,looked like a gift decision more than a regular buy
Chivas Regal,12,blend,12.0,750,437.64,step_up,1,light,core,liquor_store,eye_level,standard,0,Pretoria East,37,mixed,birthday run,primary,0,,1,entry,Chivas Regal 12 gift pack,Chivas Regal 12 750ML,,Looked like a gift decision more than a regular buy.
Laphroaig,10,single_malt,10.0,750,996.92,stretch,1,heavy,distinctive,liquor_store,feature_display,standard,0,Rosebank,11,gift,,primary,0,69.0,1,familiar,Laphroaig 10 whisky gift box,Laphroaig 10 750ML,,promo got attention but not a big basket
Johnnie Walker,Red Label,blend,,1000,311.25,budget_edge,0,light,entry,liquor_store,eye_level,gift_section,1,Midrand,20,self,special bottle,primary,0,106.0,2,familiar,Johnnie Walker Red Label single malt,Johnnie Walker Red Label - R311,2 for less on selected whisky,Promo got attention but not a big basket.
Johnnie Walker,Black Label,blend,12.0,1000,561.65,premium_window,1,medium,core,liquor_store,feature_display,standard,0,Fourways,9,self,braai night,primary,1,31.0,1,exploratory,Johnnie Walker Black Label Scotch 1000ml gift box,JW Black Label 1000,,buyer traded up from a usual blend
Johnnie Walker,Black Label,blend,12.0,750,408.68,step_up,0,medium,core,retail_chain,eye_level,standard,0,Sandton,34,gift,corporate gift,primary,1,32.0,1,exploratory,Johnnie Walker Black Label Scotch 750ml,Johnnie Walker Black Label 750 ml,,Promo got attention but not a big basket.
Glenfiddich,12,single_malt,12.0,750,602.58,premium_window,0,light,premium,premium_store,eye_level,gift_section,0,East Rand,25,self,birthday run,primary,1,69.0,1,familiar,Glenfiddich 12 blend,Glenfiddich 12 750ML,,"premium shelf got traffic, but not much conversion late week"
Johnnie Walker,Red Label,blend,,750,282.08,budget_edge,0,light,entry,liquor_store,eye_level,promo_stack,1,Midrand,13,self,birthday run,primary,0,49.0,1,entry,Johnnie Walker Red Label blend,Johnnie Walker Red Label Gift,price drop while stock lasts,
Glenfiddich,12,single_malt,12.0,700,531.9,premium_window,0,light,premium,premium_store,lower,standard,0,Pretoria East,49,self,month-end stock-up,primary,0,119.0,1,entry,Glenfiddich 12 gift pack,G 12 700,,staff said peat was a hard sell here
Johnnie Walker,Red Label,blend,,750,262.88,budget_edge,0,light,entry,liquor_store,lower,gift_section,0,Rosebank,50,self,quiet pour,primary,1,5.0,2,familiar,Johnnie Walker Red Label whisky,Johnnie Walker Red Label whisky,,promo got attention but not a big basket
Johnnie Walker,Black Label,blend,12.0,1000,530.81,premium_window,0,medium,core,retail_chain,lower,standard,1,Pretoria East,25,mixed,,primary,0,48.0,1,entry,Johnnie Walker Black Label whisky,Johnnie Walker Black Label - R531,premium pour week,asked for something smoother than usual
Monkey Shoulder,Blended Malt,blend,,750,367.72,step_up,0,medium,core,retail_chain,end_cap,standard,0,Midrand,32,self,quiet pour,add_on,1,48.0,1,exploratory,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt 750ML,,staff said peat was a hard sell here
Johnnie Walker,Red Label,blend,,750,260.54,budget_edge,0,light,entry,retail_chain,end_cap,standard,0,Midrand,28,self,try something else,add_on,1,53.0,1,entry,Johnnie Walker Red Label gift pack,Johnnie Walker Red Label Gift,,picked from the feature end after a long look
Lagavulin,16,single_malt,16.0,750,1466.09,top_shelf,1,heavy,distinctive,premium_store,eye_level,standard,1,East Rand,7,gift,special bottle,primary,0,,2,preference_led,Lagavulin 16 Scotch 750ml,Lagavulin 16 Gift,2 for less on selected whisky,buyer traded up from a usual blend
Glenfiddich,12,single_malt,12.0,750,460.84,step_up,1,light,premium,liquor_store,eye_level,promo_stack,1,Midrand,30,mixed,special bottle,primary,0,,1,entry,Glenfiddich 12 750ml gift box,Glenfiddich 12 - R461,premium pour week,buyer traded up from a usual blend
Chivas Regal,12,blend,12.0,750,413.5,step_up,0,light,core,retail_chain,lower,standard,0,Pretoria East,29,self,birthday run,add_on,0,46.0,1,entry,Chivas Regal 12 whisky,Chivas Regal 12 - R414,,Asked for something smoother than usual.
Monkey Shoulder,Blended Malt,blend,,750,372.21,step_up,0,medium,core,liquor_store,end_cap,standard,1,East Rand,48,mixed,month-end stock-up,add_on,0,,2,familiar,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt 750ML,premium pour week,
Johnnie Walker,Red Label,blend,,1000,343.14,step_up,1,light,entry,liquor_store,end_cap,gift_section,0,Midrand,10,gift,,primary,0,75.0,1,familiar,Johnnie Walker Red Label Scotch 1000ml gift box,Johnnie Walker Red Label 1000ML,,
Laphroaig,10,single_malt,10.0,750,912.88,stretch,1,heavy,distinctive,liquor_store,lower,promo_stack,0,Soweto,13,gift,quiet pour,primary,0,,2,preference_led,Laphroaig 10 single malt gift box,L 10 750,,"buyer seemed curious, not fully convinced"
Monkey Shoulder,Blended Malt,blend,,750,410.95,step_up,0,medium,core,liquor_store,end_cap,gift_section,0,Rosebank,12,mixed,try something else,primary,0,55.0,1,exploratory,Monkey Shoulder Blended Malt gift pack,Monkey Shoulder Blended Malt 750ML,,staff said peat was a hard sell here
Johnnie Walker,Red Label,blend,,750,270.33,budget_edge,0,light,entry,liquor_store,feature_display,gift_section,0,Pretoria East,19,gift,,primary,1,62.0,2,entry,Johnnie Walker Red Label 750ml,J Walker Red Label - R270,,staff said peat was a hard sell here
Lagavulin,16,single_malt,16.0,750,1365.68,top_shelf,1,heavy,distinctive,liquor_store,end_cap,standard,0,Fourways,43,gift,host gift,primary,1,54.0,1,preference_led,Lagavulin 16 whisky,L 16 750,,
Johnnie Walker,Black Label,blend,12.0,750,357.85,step_up,0,medium,core,liquor_store,end_cap,standard,0,Soweto,2,mixed,quiet pour,primary,0,,1,entry,Johnnie Walker Black Label 750ml,Johnnie Walker Black Label 750ML,,asked for something smoother than usual
Lagavulin,16,single_malt,16.0,750,1379.69,top_shelf,0,heavy,distinctive,retail_chain,lower,standard,0,Fourways,4,self,weekend top-up,primary,0,,1,exploratory,Lagavulin 16 Scotch 750ml,Lagavulin 16 750ML,,
Laphroaig,10,single_malt,10.0,750,1011.92,stretch,0,heavy,distinctive,retail_chain,lower,promo_stack,1,Fourways,2,self,,primary,0,,1,preference_led,Laphroaig 10 gift pack,Laphroaig 10 750ML,2 for less on selected whisky,
Lagavulin,16,single_malt,16.0,750,1702.17,top_shelf,1,heavy,distinctive,premium_store,eye_level,gift_section,0,Midrand,24,self,quiet pour,primary,0,47.0,1,exploratory,Lagavulin 16 blend,Lagavulin 16 Gift,,"repeat-looking purchase, no real hesitation"
Laphroaig,10,single_malt,10.0,750,895.64,stretch,0,heavy,distinctive,liquor_store,lower,gift_section,0,Rosebank,12,self,last-minute dinner,primary,0,,1,exploratory,Laphroaig 10 blend,Laphroaig 10 Gift,,staff said peat was a hard sell here
Glenfiddich,12,single_malt,12.0,750,515.49,step_up,0,light,premium,retail_chain,lower,standard,0,Midrand,51,self,,primary,1,53.0,1,entry,Glenfiddich 12 Scotch 750ml,Glenfiddich 12 WHSKY,,
Johnnie Walker,Red Label,blend,,1000,341.85,step_up,0,light,entry,retail_chain,eye_level,standard,0,Rosebank,44,self,weekend top-up,primary,1,31.0,1,entry,Johnnie Walker Red Label Scotch 1000ml,Johnnie Walker Red Label 1000ML,,
Monkey Shoulder,Blended Malt,blend,,750,396.26,step_up,0,medium,core,liquor_store,eye_level,standard,1,Midrand,5,mixed,quiet pour,primary,0,,1,preference_led,Monkey Shoulder Blended Malt gift pack,Monkey Shoulder Blended Malt Gift,bundle with glassware,"Buyer seemed curious, not fully convinced."
Johnnie Walker,Red Label,blend,,1000,350.35,budget_edge,0,light,entry,liquor_store,eye_level,gift_section,0,Fourways,26,mixed,host gift,primary,1,18.0,1,entry,Johnnie Walker Red Label 1000ml,J Walker Red Label whisky,,
Glenfiddich,12,single_malt,12.0,750,424.8,step_up,0,light,premium,retail_chain,end_cap,standard,1,Pretoria East,8,mixed,special bottle,primary,0,,1,entry,Glenfiddich 12 Scotch 750ml,G 12 750,gift ready bottle special,"buyer seemed curious, not fully convinced"
Johnnie Walker,Red Label,blend,,750,241.03,budget_edge,0,light,entry,liquor_store,feature_display,standard,1,Fourways,11,mixed,,primary,0,67.0,1,entry,Johnnie Walker Red Label gift pack,JW Red Label 750,bundle with glassware,picked from the feature end after a long look
Glenlivet,12,single_malt,12.0,750,487.02,premium_window,0,light,premium,liquor_store,eye_level,standard,0,Centurion,25,self,,primary,0,,1,entry,Glenlivet 12 whisky,Glenlivet 12 750 ml,,"buyer seemed curious, not fully convinced"
Monkey Shoulder,Blended Malt,blend,,750,465.31,step_up,0,medium,core,liquor_store,end_cap,gift_section,0,Fourways,28,self,quiet pour,primary,1,38.0,1,preference_led,Monkey Shoulder Blended Malt whisky,Monkey Shoulder Blended Malt - R465,,"Shopper hovered, then came back after another aisle."
Johnnie Walker,Black Label,blend,12.0,1000,631.79,premium_window,0,medium,core,premium_store,end_cap,standard,0,Centurion,34,mixed,birthday run,primary,0,,1,familiar,Johnnie Walker Black Label 1000ml,Johnnie Walker Black Label whisky,,"Shopper hovered, then came back after another aisle."
Monkey Shoulder,Blended Malt,blend,,750,409.54,step_up,1,medium,core,liquor_store,eye_level,gift_section,1,Sandton,27,mixed,host gift,primary,0,,1,familiar,Monkey Shoulder Blended Malt single malt gift box,Monkey Shoulder Blended Malt - R410,price drop while stock lasts,
Chivas Regal,12,blend,12.0,750,431.78,step_up,0,light,core,liquor_store,end_cap,standard,0,West Rand,8,mixed,corporate gift,primary,0,117.0,1,familiar,Chivas Regal 12 Scotch 750ml,CR 12 750,,looked like a gift decision more than a regular buy
Johnnie Walker,Red Label,blend,,1000,308.36,budget_edge,0,light,entry,liquor_store,end_cap,promo_stack,1,East Rand,8,self,birthday run,primary,0,,1,familiar,Johnnie Walker Red Label Scotch 1000ml,Johnnie Walker Red Label 1000 ML,price drop while stock lasts,
Chivas Regal,12,blend,12.0,1000,538.79,premium_window,0,light,core,liquor_store,end_cap,gift_section,0,Sandton,17,mixed,host gift,primary,1,46.0,1,familiar,Chivas Regal 12 Scotch 1000ml,Chivas Regal 12 - R539,,Looked like a gift decision more than a regular buy.
Monkey Shoulder,Blended Malt,blend,,750,380.2,step_up,0,medium,core,retail_chain,lower,standard,0,Randburg,31,self,quiet pour,primary,1,36.0,1,familiar,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt 750ML,,picked from the feature end after a long look
Glenlivet,12,single_malt,12.0,700,436.49,step_up,0,light,premium,retail_chain,end_cap,standard,0,East Rand,3,mixed,,primary,0,,1,preference_led,Glenlivet 12 gift pack,Glenlivet 12 700 ml,,
Monkey Shoulder,Blended Malt,blend,,750,426.11,step_up,0,medium,core,retail_chain,lower,standard,0,East Rand,33,self,birthday run,add_on,1,20.0,1,preference_led,Monkey Shoulder Blended Malt gift pack,Monkey Shoulder Blended Malt 750ML,,asked for something smoother than usual
Monkey Shoulder,Blended Malt,blend,,750,375.75,step_up,0,medium,core,retail_chain,feature_display,gift_section,0,Sandton,29,self,weekend top-up,primary,0,100.0,1,entry,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt / R376,,"Shopper hovered, then came back after another aisle."
Johnnie Walker,Red Label,blend,,1000,328.3,step_up,0,light,entry,liquor_store,lower,standard,1,Soweto,47,self,quiet pour,primary,1,36.0,1,familiar,Johnnie Walker Red Label single malt,Johnnie Walker Red Label / R328,2 for less on selected whisky,staff said peat was a hard sell here
Johnnie Walker,Red Label,blend,,1000,409.68,step_up,0,light,entry,premium_store,lower,gift_section,0,Fourways,23,self,,primary,1,38.0,1,entry,Johnnie Walker Red Label whisky,Johnnie Walker Red Label 1000ML,,"shopper hovered, then came back after another aisle"
Johnnie Walker,Black Label,blend,12.0,750,424.54,step_up,0,medium,core,liquor_store,end_cap,standard,0,West Rand,33,self,,primary,0,38.0,1,entry,Johnnie Walker Black Label 750ml,Johnnie Walker Black Label 750 ml,,picked from the feature end after a long look
Laphroaig,10,single_malt,10.0,750,1055.4,top_shelf,0,heavy,distinctive,retail_chain,eye_level,standard,0,Pretoria East,48,self,quiet pour,primary,0,,1,preference_led,Laphroaig 10 blend,L 10 750,,promo got attention but not a big basket
Johnnie Walker,Red Label,blend,,750,238.89,budget_edge,0,light,entry,liquor_store,eye_level,gift_section,0,Pretoria East,42,mixed,weekend top-up,primary,1,17.0,1,preference_led,Johnnie Walker Red Label whisky,Johnnie Walker Red Label whisky,,
Laphroaig,10,single_malt,10.0,750,1025.43,stretch,0,heavy,distinctive,liquor_store,lower,promo_stack,0,Rosebank,17,self,special bottle,primary,0,,1,preference_led,Laphroaig 10 blend,Laphroaig 10 Gift,,
Monkey Shoulder,Blended Malt,blend,,750,398.7,step_up,0,medium,core,retail_chain,lower,standard,0,Randburg,12,self,month-end stock-up,primary,0,,1,exploratory,Monkey Shoulder Blended Malt Scotch 750ml,MS Blended Malt 750,,
Johnnie Walker,Red Label,blend,,1000,332.51,budget_edge,0,light,entry,liquor_store,end_cap,standard,0,Centurion,29,self,,primary,0,49.0,1,familiar,Johnnie Walker Red Label blend,Johnnie Walker Red Label 1000 ML,,staff said peat was a hard sell here
Laphroaig,10,single_malt,10.0,750,1010.08,top_shelf,1,heavy,distinctive,retail_chain,lower,gift_section,0,East Rand,3,self,weekend top-up,primary,1,32.0,1,familiar,Laphroaig 10 blend,L 10 750,,buyer traded up from a usual blend
Glenfiddich,12,single_malt,12.0,700,462.68,step_up,0,light,premium,retail_chain,feature_display,standard,1,West Rand,12,mixed,quiet pour,primary,0,,1,familiar,Glenfiddich 12 blend,Glenfiddich 12 700 ml,gift ready bottle special,Promo got attention but not a big basket.
Glenfiddich,12,single_malt,12.0,700,443.0,step_up,1,light,premium,retail_chain,feature_display,standard,0,Soweto,41,mixed,special bottle,primary,1,5.0,1,exploratory,Glenfiddich 12 single malt,Glenfiddich 12 whisky,,
Laphroaig,10,single_malt,10.0,750,1127.55,top_shelf,1,heavy,distinctive,liquor_store,end_cap,promo_stack,1,Sandton,18,self,weekend top-up,primary,0,,1,familiar,Laphroaig 10 gift pack,Laphroaig 10 - R1128,gift box offer,picked from the feature end after a long look
Glenlivet,12,single_malt,12.0,700,506.42,premium_window,0,light,premium,premium_store,feature_display,gift_section,1,Pretoria East,38,gift,host gift,primary,0,,1,preference_led,Glenlivet 12 whisky,Glenlivet 12 - R506,gift ready bottle special,
Chivas Regal,12,blend,12.0,750,465.36,step_up,1,light,core,premium_store,eye_level,gift_section,0,Pretoria East,19,gift,birthday run,primary,0,41.0,1,familiar,Chivas Regal 12 gift pack,Chivas Regal 12 750ML,,
Johnnie Walker,Red Label,blend,,1000,379.69,step_up,0,light,entry,premium_store,eye_level,gift_section,0,Midrand,22,gift,braai night,primary,0,,1,exploratory,Johnnie Walker Red Label Scotch 1000ml,JW Red Label 1000,,asked for something smoother than usual
Laphroaig,10,single_malt,10.0,750,1026.69,stretch,0,heavy,distinctive,liquor_store,end_cap,gift_section,1,East Rand,13,mixed,,primary,1,74.0,1,preference_led,Laphroaig 10 blend,Laphroaig 10 750ML,premium pour week,"shopper hovered, then came back after another aisle"
Chivas Regal,12,blend,12.0,1000,668.91,premium_window,1,light,core,premium_store,eye_level,gift_section,0,Midrand,4,gift,birthday run,primary,0,,2,exploratory,Chivas Regal 12 blend,Chivas Regal 12 Gift,,Staff said peat was a hard sell here.
Chivas Regal,12,blend,12.0,1000,477.07,premium_window,1,light,core,liquor_store,lower,standard,0,Rosebank,41,gift,corporate gift,primary,0,,1,preference_led,Chivas Regal 12 gift pack,Chivas Regal 12 whisky,,
Johnnie Walker,Red Label,blend,,1000,336.36,budget_edge,0,light,entry,liquor_store,lower,standard,0,West Rand,17,mixed,try something else,primary,0,66.0,1,entry,Johnnie Walker Red Label gift pack,Johnnie Walker Red Label 1000 ML,,
Chivas Regal,12,blend,12.0,750,394.03,step_up,1,light,core,liquor_store,eye_level,standard,1,Pretoria East,38,mixed,braai night,add_on,0,69.0,2,preference_led,Chivas Regal 12 750ml gift box,Chivas Regal 12 750ML,gift ready bottle special,buyer traded up from a usual blend
Johnnie Walker,Red Label,blend,,750,275.64,budget_edge,0,light,entry,liquor_store,lower,standard,0,Sandton,49,self,,add_on,1,29.0,1,entry,Johnnie Walker Red Label whisky,Johnnie Walker Red Label 750ML,,asked for something smoother than usual
Glenfiddich,12,single_malt,12.0,750,578.09,premium_window,0,light,premium,premium_store,end_cap,gift_section,0,Pretoria East,32,mixed,weekend top-up,primary,0,84.0,1,exploratory,Glenfiddich 12 gift pack,Glenfiddich 12 / R578,,Asked for something smoother than usual.
Monkey Shoulder,Blended Malt,blend,,750,388.84,step_up,0,medium,core,liquor_store,end_cap,gift_section,0,Pretoria East,3,self,try something else,primary,1,51.0,1,exploratory,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt 750 ml,,"repeat-looking purchase, no real hesitation"
Johnnie Walker,Black Label,blend,12.0,750,536.03,premium_window,1,medium,core,premium_store,end_cap,promo_stack,1,Randburg,6,gift,quiet pour,primary,0,,2,entry,Johnnie Walker Black Label single malt,Johnnie Walker Black Label Gift,gift box offer,
Glenlivet,12,single_malt,12.0,700,445.84,step_up,0,light,premium,liquor_store,eye_level,gift_section,0,Centurion,29,self,weekend top-up,primary,1,18.0,1,familiar,Glenlivet 12 700ml,Glenlivet 12 whisky,,looked like a gift decision more than a regular buy
Chivas Regal,12,blend,12.0,750,366.31,step_up,1,light,core,liquor_store,feature_display,gift_section,0,East Rand,8,gift,host gift,primary,0,9.0,1,familiar,Chivas Regal 12 blend gift box,Chivas Regal 12 750 ml,,"Buyer seemed curious, not fully convinced."
Johnnie Walker,Red Label,blend,,1000,371.47,step_up,0,light,entry,premium_store,eye_level,gift_section,0,Randburg,27,mixed,,primary,0,65.0,1,entry,Johnnie Walker Red Label whisky,Johnnie Walker Red Label - R371,,asked for something smoother than usual
Glenfiddich,12,single_malt,12.0,700,526.42,premium_window,0,light,premium,liquor_store,end_cap,gift_section,0,East Rand,1,self,weekend top-up,primary,0,,1,preference_led,Glenfiddich 12 single malt,Glenfiddich 12 700 ml,,"repeat-looking purchase, no real hesitation"
Johnnie Walker,Red Label,blend,,750,240.83,budget_edge,0,light,entry,retail_chain,lower,standard,0,West Rand,28,self,weekend top-up,primary,1,24.0,1,entry,Johnnie Walker Red Label whisky,Johnnie Walker Red Label 750ML,,Promo got attention but not a big basket.
Chivas Regal,12,blend,12.0,750,377.43,step_up,1,light,core,liquor_store,lower,gift_section,0,Randburg,33,gift,,primary,0,102.0,2,familiar,Chivas Regal 12 blend gift box,CR 12 750,,"premium shelf got traffic, but not much conversion late week"
Johnnie Walker,Black Label,blend,12.0,1000,536.55,premium_window,0,medium,core,premium_store,eye_level,promo_stack,1,Midrand,20,self,,primary,0,,1,entry,Johnnie Walker Black Label 1000ml,Johnnie Walker Black Label - R537,gift ready bottle special,
Laphroaig,10,single_malt,10.0,750,1187.3,top_shelf,0,heavy,distinctive,liquor_store,eye_level,gift_section,0,Rosebank,32,gift,try something else,primary,0,121.0,1,familiar,Laphroaig 10 750ml,Laphroaig 10 Gift,,asked for something smoother than usual
Lagavulin,16,single_malt,16.0,750,1372.54,top_shelf,0,heavy,distinctive,liquor_store,lower,standard,1,Midrand,12,self,,primary,0,,1,familiar,Lagavulin 16 gift pack,L 16 750,shelf talker only,Buyer traded up from a usual blend.
Johnnie Walker,Red Label,blend,,750,265.96,budget_edge,0,light,entry,liquor_store,lower,promo_stack,1,Randburg,3,self,quiet pour,primary,0,60.0,1,entry,Johnnie Walker Red Label Scotch 750ml,Johnnie Walker Red Label whisky,bundle with glassware,promo got attention but not a big basket
Johnnie Walker,Red Label,blend,,1000,404.98,step_up,0,light,entry,premium_store,feature_display,promo_stack,0,Pretoria East,27,mixed,special bottle,primary,1,16.0,1,entry,Johnnie Walker Red Label gift pack,Johnnie Walker Red Label 1000ML,,buyer traded up from a usual blend
Laphroaig,10,single_malt,10.0,750,872.31,stretch,1,heavy,distinctive,retail_chain,lower,standard,0,Centurion,29,self,quiet pour,primary,0,125.0,1,exploratory,Laphroaig 10 whisky gift box,Laphroaig 10 - R872,,buyer traded up from a usual blend
Johnnie Walker,Red Label,blend,,750,254.61,budget_edge,0,light,entry,liquor_store,lower,standard,0,East Rand,26,gift,try something else,primary,0,69.0,1,familiar,Johnnie Walker Red Label blend,JW Red Label 750,,asked for something smoother than usual
Laphroaig,10,single_malt,10.0,750,980.73,top_shelf,0,heavy,distinctive,liquor_store,lower,standard,0,Sandton,19,self,,primary,0,48.0,1,exploratory,Laphroaig 10 single malt,Laphroaig 10 Gift,,
Laphroaig,10,single_malt,10.0,750,1104.34,top_shelf,1,heavy,distinctive,liquor_store,lower,standard,0,Pretoria East,29,gift,last-minute dinner,primary,1,45.0,1,exploratory,Laphroaig 10 gift pack,Laphroaig 10 750 ml,,
Monkey Shoulder,Blended Malt,blend,,750,464.7,step_up,0,medium,core,premium_store,lower,promo_stack,0,West Rand,39,mixed,quiet pour,primary,1,51.0,1,preference_led,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt - R465,,"repeat-looking purchase, no real hesitation"
Johnnie Walker,Red Label,blend,,1000,369.43,step_up,1,light,entry,liquor_store,feature_display,gift_section,0,Centurion,41,self,quiet pour,primary,0,,1,entry,Johnnie Walker Red Label gift pack,JW Red Label 1000,,
Chivas Regal,12,blend,12.0,750,395.3,step_up,0,light,core,liquor_store,feature_display,gift_section,0,Randburg,25,mixed,,primary,0,90.0,1,familiar,Chivas Regal 12 750ml,Chivas Regal 12 Gift,,Staff said peat was a hard sell here.
Glenfiddich,12,single_malt,12.0,700,412.14,step_up,0,light,premium,liquor_store,lower,standard,0,Soweto,51,self,,primary,1,18.0,1,familiar,Glenfiddich 12 Scotch 700ml,Glenfiddich 12 - R412,,"shopper hovered, then came back after another aisle"
Laphroaig,10,single_malt,10.0,750,1017.87,stretch,0,heavy,distinctive,retail_chain,eye_level,standard,0,Midrand,50,gift,braai night,primary,1,44.0,1,familiar,Laphroaig 10 blend,Laphroaig 10 Gift,,looked like a gift decision more than a regular buy
Johnnie Walker,Black Label,blend,12.0,750,377.71,step_up,1,medium,core,retail_chain,feature_display,standard,0,East Rand,8,gift,birthday run,primary,0,,1,preference_led,Johnnie Walker Black Label whisky gift box,JW Black Label 750,,Asked for something smoother than usual.
Glenfiddich,12,single_malt,12.0,700,526.8,premium_window,0,light,premium,liquor_store,feature_display,gift_section,0,Midrand,18,mixed,month-end stock-up,primary,0,,1,preference_led,Glenfiddich 12 single malt,Glenfiddich 12 Gift,,
Monkey Shoulder,Blended Malt,blend,,750,490.55,premium_window,0,medium,core,premium_store,feature_display,gift_section,0,West Rand,46,mixed,special bottle,primary,1,42.0,1,preference_led,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt Gift,,
Johnnie Walker,Red Label,blend,,750,229.35,budget_edge,0,light,entry,retail_chain,end_cap,standard,0,Centurion,1,self,special bottle,primary,1,38.0,1,familiar,Johnnie Walker Red Label 750ml,Johnnie Walker Red Label Gift,,staff said peat was a hard sell here
Chivas Regal,12,blend,12.0,750,505.84,step_up,0,light,core,premium_store,end_cap,standard,0,Centurion,35,gift,corporate gift,primary,0,93.0,2,familiar,Chivas Regal 12 750ml,Chivas Regal 12 750 ml,,asked for something smoother than usual
Johnnie Walker,Black Label,blend,12.0,1000,559.37,premium_window,1,medium,core,liquor_store,eye_level,standard,0,West Rand,33,gift,,primary,0,20.0,2,preference_led,Johnnie Walker Black Label gift pack,Johnnie Walker Black Label whisky,,promo got attention but not a big basket
Johnnie Walker,Black Label,blend,12.0,1000,667.13,premium_window,0,medium,core,premium_store,eye_level,standard,0,Rosebank,16,self,try something else,primary,0,85.0,1,exploratory,Johnnie Walker Black Label 1000ml,Johnnie Walker Black Label - R667,,buyer traded up from a usual blend
Johnnie Walker,Black Label,blend,12.0,1000,552.59,premium_window,0,medium,core,liquor_store,eye_level,standard,0,Pretoria East,12,self,weekend top-up,primary,1,58.0,1,familiar,Johnnie Walker Black Label single malt,Johnnie Walker Black Label 1000 ml,,promo got attention but not a big basket
Johnnie Walker,Black Label,blend,12.0,750,382.78,step_up,0,medium,core,liquor_store,eye_level,standard,0,Randburg,13,self,braai night,primary,1,40.0,1,familiar,Johnnie Walker Black Label whisky,JW Black Label 750,,
Johnnie Walker,Black Label,blend,12.0,750,422.57,step_up,0,medium,core,retail_chain,lower,promo_stack,1,Pretoria East,1,self,special bottle,primary,0,,2,preference_led,Johnnie Walker Black Label whisky,Johnnie Walker Black Label whisky,2 for less on selected whisky,"shopper hovered, then came back after another aisle"
Johnnie Walker,Black Label,blend,12.0,1000,572.78,premium_window,0,medium,core,retail_chain,end_cap,promo_stack,0,Sandton,2,self,special bottle,primary,0,70.0,1,exploratory,Johnnie Walker Black Label whisky,Johnnie Walker Black Label whisky,,"repeat-looking purchase, no real hesitation"
Glenfiddich,12,single_malt,12.0,700,468.05,step_up,0,light,premium,retail_chain,eye_level,standard,0,West Rand,3,self,braai night,primary,1,26.0,2,preference_led,Glenfiddich 12 Scotch 700ml,Glenfiddich 12 WHSKY,,
Johnnie Walker,Red Label,blend,,1000,346.44,step_up,0,light,entry,liquor_store,end_cap,gift_section,1,East Rand,38,self,month-end stock-up,primary,0,,1,entry,Johnnie Walker Red Label blend,Johnnie Walker Red Label Gift,premium pour week,
Johnnie Walker,Black Label,blend,12.0,750,481.22,step_up,0,medium,core,retail_chain,eye_level,standard,0,Centurion,8,mixed,birthday run,primary,1,22.0,1,entry,Johnnie Walker Black Label gift pack,Johnnie Walker Black Label - R481,,promo got attention but not a big basket
Johnnie Walker,Black Label,blend,12.0,1000,530.68,premium_window,0,medium,core,liquor_store,lower,standard,0,Pretoria East,32,mixed,last-minute dinner,primary,0,,1,familiar,Johnnie Walker Black Label 1000ml,Johnnie Walker Black Label 1000 ml,,Staff said peat was a hard sell here.
Laphroaig,10,single_malt,10.0,750,1153.47,top_shelf,0,heavy,distinctive,liquor_store,eye_level,standard,0,East Rand,38,self,quiet pour,primary,1,76.0,1,familiar,Laphroaig 10 blend,Laphroaig 10 750 ML,,promo got attention but not a big basket
Johnnie Walker,Black Label,blend,12.0,750,527.59,premium_window,1,medium,core,premium_store,eye_level,standard,0,Midrand,51,mixed,last-minute dinner,primary,0,,1,preference_led,Johnnie Walker Black Label Scotch 750ml gift box,J Walker Black Label - R528,,Looked like a gift decision more than a regular buy.
Laphroaig,10,single_malt,10.0,750,1011.09,stretch,0,heavy,distinctive,liquor_store,end_cap,promo_stack,1,Soweto,15,mixed,corporate gift,primary,0,116.0,1,exploratory,Laphroaig 10 gift pack,Laphroaig 10 750ML,gift ready bottle special,picked from the feature end after a long look
